date,time,symbol,price,variance,slope,trend
2025-03-15,10:39:43.000,BTCUSD,84341.29000,14.871685,-0.231967,Bearish
2025-03-15,10:39:43.000,BTCUSD,84344.99000,14.682031,-0.177720,Bearish
2025-03-15,10:39:43.000,BTCUSD,84345.75000,12.753306,-0.088120,Bearish
2025-03-15,10:39:43.000,BTCUSD,84339.17000,10.261600,-0.041055,Bearish
2025-03-15,10:39:43.000,BTCUSD,84339.42000,7.960909,0.007030,Bullish
2025-03-15,10:39:43.000,BTCUSD,84340.42000,7.483534,0.032518,Bullish
2025-03-15,10:39:43.000,BTCUSD,84340.05000,7.118572,0.053219,Bullish
2025-03-15,10:39:43.000,BTCUSD,84344.05000,7.405069,0.095090,Bullish
2025-03-15,10:39:43.000,BTCUSD,84343.92000,7.821425,0.124547,Bullish
2025-03-15,10:39:44.000,BTCUSD,84343.55000,8.145382,0.149117,Bullish
2025-03-15,10:39:44.000,BTCUSD,84343.30000,8.409941,0.169106,Bullish
2025-03-15,10:39:44.000,BTCUSD,84343.80000,8.375274,0.168038,Bullish
2025-03-15,10:39:44.000,BTCUSD,84343.57000,8.633900,0.186732,Bullish
2025-03-15,10:39:44.000,BTCUSD,84339.92000,8.607580,0.172093,Bullish
2025-03-15,10:39:44.000,BTCUSD,84342.25000,8.645514,0.175499,Bullish
2025-03-15,10:39:44.000,BTCUSD,84346.50000,9.554114,0.201195,Bullish
2025-03-15,10:39:44.000,BTCUSD,84342.50000,9.419752,0.193864,Bullish
2025-03-15,10:39:44.000,BTCUSD,84340.55000,8.439032,0.151907,Bullish
2025-03-15,10:39:44.000,BTCUSD,84340.67000,7.304297,0.106917,Bullish
2025-03-15,10:39:45.000,BTCUSD,84341.05000,5.581641,0.054338,Bullish
2025-03-15,10:39:45.000,BTCUSD,84340.92000,4.894789,0.016968,Bullish
2025-03-15,10:39:45.000,BTCUSD,84345.05000,5.153740,0.046260,Bullish
2025-03-15,10:39:45.000,BTCUSD,84344.92000,5.390389,0.073030,Bullish
2025-03-15,10:39:45.000,BTCUSD,84340.30000,5.489965,0.060723,Bullish
2025-03-15,10:39:45.000,BTCUSD,84340.80000,5.529949,0.049604,Bullish
2025-03-15,10:39:45.000,BTCUSD,84342.62000,5.530236,0.049651,Bullish
2025-03-15,10:39:45.000,BTCUSD,84346.62000,6.209517,0.078405,Bullish
2025-03-15,10:39:45.000,BTCUSD,84346.50000,6.778477,0.114004,Bullish
2025-03-15,10:39:45.000,BTCUSD,84343.30000,5.788900,0.083190,Bullish
2025-03-15,10:39:46.000,BTCUSD,84342.30000,4.850134,0.045822,Bullish
2025-03-15,10:39:46.000,BTCUSD,84342.37000,4.788478,0.034392,Bullish
2025-03-15,10:39:46.000,BTCUSD,84342.62000,4.608332,0.049611,Bullish
2025-03-15,10:39:46.000,BTCUSD,84338.87000,4.700371,0.046932,Bullish
2025-03-15,10:39:46.000,BTCUSD,84337.99000,4.999016,-0.003742,Bearish
2025-03-15,10:39:46.000,BTCUSD,84341.61000,4.724803,-0.028812,Bearish
2025-03-15,10:39:46.000,BTCUSD,84338.87000,5.009883,-0.065637,Bearish
2025-03-15,10:39:46.000,BTCUSD,84337.61000,5.580409,-0.112454,Bearish
2025-03-15,10:39:46.000,BTCUSD,84340.99000,5.524445,-0.108792,Bearish
2025-03-15,10:39:47.000,BTCUSD,84344.84000,5.657538,-0.079826,Bearish
2025-03-15,10:39:47.000,BTCUSD,84340.74000,5.663814,-0.080274,Bearish
2025-03-15,10:39:47.000,BTCUSD,84342.49000,5.621865,-0.069904,Bearish
2025-03-15,10:39:47.000,BTCUSD,84342.12000,5.522932,-0.058113,Bearish
2025-03-15,10:39:47.000,BTCUSD,84341.74000,5.445238,-0.049613,Bearish
2025-03-15,10:39:47.000,BTCUSD,84341.24000,5.319427,-0.068696,Bearish
2025-03-15,10:39:47.000,BTCUSD,84341.06000,5.347736,-0.073459,Bearish
2025-03-15,10:39:47.000,BTCUSD,84340.86000,4.677704,-0.049673,Bearish
2025-03-15,10:39:48.000,BTCUSD,84338.11000,5.094998,-0.068705,Bearish
2025-03-15,10:39:48.000,BTCUSD,84337.62000,5.587987,-0.102394,Bearish
2025-03-15,10:39:48.000,BTCUSD,84341.22000,5.565101,-0.110725,Bearish
2025-03-15,10:39:48.000,BTCUSD,84345.09000,5.948721,-0.091713,Bearish
2025-03-15,10:39:48.000,BTCUSD,84344.84000,6.236623,-0.077008,Bearish
2025-03-15,10:39:48.000,BTCUSD,84343.15000,5.946810,-0.046467,Bearish
2025-03-15,10:39:48.000,BTCUSD,84342.65000,5.637712,-0.019204,Bearish
2025-03-15,10:39:48.000,BTCUSD,84342.40000,5.583158,-0.024405,Bearish
2025-03-15,10:39:49.000,BTCUSD,84338.62000,5.877943,-0.051479,Bearish
2025-03-15,10:39:49.000,BTCUSD,84338.87000,6.101568,-0.063419,Bearish
2025-03-15,10:39:49.000,BTCUSD,84339.77000,5.310545,-0.040298,Bearish
2025-03-15,10:39:49.000,BTCUSD,84340.17000,4.427791,-0.012376,Bearish
2025-03-15,10:39:49.000,BTCUSD,84341.28000,4.268077,0.003455,Bullish
2025-03-15,10:39:49.000,BTCUSD,84346.53000,5.191392,0.047159,Bullish
2025-03-15,10:39:50.000,BTCUSD,84344.62000,5.528317,0.077141,Bullish
2025-03-15,10:39:50.000,BTCUSD,84343.76000,5.671551,0.102298,Bullish
2025-03-15,10:39:50.000,BTCUSD,84346.90000,6.435383,0.121344,Bullish
2025-03-15,10:39:50.000,BTCUSD,84346.30000,6.665016,0.126877,Bullish
2025-03-15,10:39:50.000,BTCUSD,84341.80000,6.662898,0.124645,Bullish
2025-03-15,10:39:50.000,BTCUSD,84343.93000,6.474104,0.117175,Bullish
2025-03-15,10:39:50.000,BTCUSD,84348.57000,7.104913,0.128699,Bullish
2025-03-15,10:39:50.000,BTCUSD,84343.81000,7.094322,0.127947,Bullish
2025-03-15,10:39:50.000,BTCUSD,84343.68000,6.956978,0.151653,Bullish
2025-03-15,10:39:51.000,BTCUSD,84342.15000,6.858921,0.137729,Bullish
2025-03-15,10:39:51.000,BTCUSD,84345.79000,7.205054,0.158730,Bullish
2025-03-15,10:39:51.000,BTCUSD,84347.32000,7.902432,0.185582,Bullish
2025-03-15,10:39:51.000,BTCUSD,84344.68000,7.974168,0.190467,Bullish
2025-03-15,10:39:51.000,BTCUSD,84341.92000,7.914131,0.172790,Bullish
2025-03-15,10:39:51.000,BTCUSD,84346.28000,8.146363,0.181697,Bullish
2025-03-15,10:39:51.000,BTCUSD,84342.65000,7.983533,0.163484,Bullish
2025-03-15,10:39:51.000,BTCUSD,84342.21000,7.147771,0.122670,Bullish
2025-03-15,10:39:52.000,BTCUSD,84347.78000,6.636158,0.112587,Bullish
2025-03-15,10:39:52.000,BTCUSD,84347.78000,6.971156,0.122812,Bullish
2025-03-15,10:39:52.000,BTCUSD,84347.69000,7.405067,0.156227,Bullish
2025-03-15,10:39:52.000,BTCUSD,84348.56000,8.076651,0.192374,Bullish
2025-03-15,10:39:52.000,BTCUSD,84347.17000,8.355103,0.206242,Bullish
2025-03-15,10:39:52.000,BTCUSD,84345.69000,8.341186,0.205326,Bullish
2025-03-15,10:39:52.000,BTCUSD,84343.17000,8.263305,0.185075,Bullish
2025-03-15,10:39:52.000,BTCUSD,84340.60000,7.637889,0.121831,Bullish
2025-03-15,10:39:52.000,BTCUSD,84334.61000,9.787769,0.020785,Bullish
2025-03-15,10:39:52.000,BTCUSD,84334.48000,12.265546,-0.072997,Bearish
2025-03-15,10:39:53.000,BTCUSD,84336.29000,13.757536,-0.149989,Bearish
2025-03-15,10:39:53.000,BTCUSD,84340.79000,13.851948,-0.188567,Bearish
