date,time,symbol,price
2025-03-17,18:19:56.000,BTCUSD,83393.13000
2025-03-17,18:19:56.000,BTCUSD,83395.54000
2025-03-17,18:19:56.000,BTCUSD,83395.54000
2025-03-17,18:19:56.000,BTCUSD,83396.51000
2025-03-17,18:19:56.000,BTCUSD,83396.51000
2025-03-17,18:19:56.000,BTCUSD,83396.29000
2025-03-17,18:19:56.000,BTCUSD,83396.29000
2025-03-17,18:19:57.000,BTCUSD,83396.41000
2025-03-17,18:19:57.000,BTCUSD,83396.41000
2025-03-17,18:19:57.000,BTCUSD,83396.84000
2025-03-17,18:19:57.000,BTCUSD,83396.84000
2025-03-17,18:19:57.000,BTCUSD,83391.84000
2025-03-17,18:19:57.000,BTCUSD,83391.84000
2025-03-17,18:19:57.000,BTCUSD,83391.68000
2025-03-17,18:19:57.000,BTCUSD,83391.68000
2025-03-17,18:19:57.000,BTCUSD,83396.55000
2025-03-17,18:19:57.000,BTCUSD,83396.55000
2025-03-17,18:19:57.000,BTCUSD,83398.30000
2025-03-17,18:19:57.000,BTCUSD,83398.30000
2025-03-17,18:19:57.000,BTCUSD,83394.05000
2025-03-17,18:19:57.000,BTCUSD,83394.05000
2025-03-17,18:19:57.000,BTCUSD,83393.80000
2025-03-17,18:19:57.000,BTCUSD,83393.80000
2025-03-17,18:19:58.000,BTCUSD,83394.21000
2025-03-17,18:19:58.000,BTCUSD,83394.21000
2025-03-17,18:19:58.000,BTCUSD,83393.25000
2025-03-17,18:19:58.000,BTCUSD,83393.25000
2025-03-17,18:19:58.000,BTCUSD,83396.55000
2025-03-17,18:19:58.000,BTCUSD,83396.55000
2025-03-17,18:19:58.000,BTCUSD,83397.68000
2025-03-17,18:19:58.000,BTCUSD,83397.68000
2025-03-17,18:19:58.000,BTCUSD,83392.30000
2025-03-17,18:19:58.000,BTCUSD,83392.30000
2025-03-17,18:19:58.000,BTCUSD,83392.47000
2025-03-17,18:19:58.000,BTCUSD,83392.47000
2025-03-17,18:19:58.000,BTCUSD,83391.85000
2025-03-17,18:19:58.000,BTCUSD,83391.85000
2025-03-17,18:19:59.000,BTCUSD,83396.05000
2025-03-17,18:19:59.000,BTCUSD,83396.05000
2025-03-17,18:19:59.000,BTCUSD,83396.88000
2025-03-17,18:19:59.000,BTCUSD,83396.88000
2025-03-17,18:19:59.000,BTCUSD,83397.01000
2025-03-17,18:19:59.000,BTCUSD,83397.01000
2025-03-17,18:19:59.000,BTCUSD,83396.55000
2025-03-17,18:19:59.000,BTCUSD,83396.55000
2025-03-17,18:19:59.000,BTCUSD,83391.10000
2025-03-17,18:19:59.000,BTCUSD,83391.10000
2025-03-17,18:19:59.000,BTCUSD,83396.55000
2025-03-17,18:19:59.000,BTCUSD,83396.55000
2025-03-17,18:20:00.000,BTCUSD,83391.10000
2025-03-17,18:20:00.000,BTCUSD,83391.10000
2025-03-17,18:20:00.000,BTCUSD,83391.22000
2025-03-17,18:20:00.000,BTCUSD,83391.22000
2025-03-17,18:20:00.000,BTCUSD,83393.55000
2025-03-17,18:20:00.000,BTCUSD,83393.55000
2025-03-17,18:20:00.000,BTCUSD,83393.43000
2025-03-17,18:20:00.000,BTCUSD,83393.43000
2025-03-17,18:20:00.000,BTCUSD,83386.77000
2025-03-17,18:20:00.000,BTCUSD,83386.77000
2025-03-17,18:20:00.000,BTCUSD,83391.10000
2025-03-17,18:20:00.000,BTCUSD,83391.10000
2025-03-17,18:20:00.000,BTCUSD,83391.22000
2025-03-17,18:20:00.000,BTCUSD,83391.22000
2025-03-17,18:20:00.000,BTCUSD,83393.55000
2025-03-17,18:20:00.000,BTCUSD,83393.55000
2025-03-17,18:20:00.000,BTCUSD,83393.43000
2025-03-17,18:20:00.000,BTCUSD,83393.43000
2025-03-17,18:20:00.000,BTCUSD,83386.77000
2025-03-17,18:20:00.000,BTCUSD,83386.77000
2025-03-17,18:20:01.000,BTCUSD,83393.31000
2025-03-17,18:20:01.000,BTCUSD,83393.31000
2025-03-17,18:20:01.000,BTCUSD,83392.56000
2025-03-17,18:20:01.000,BTCUSD,83392.56000
2025-03-17,18:20:01.000,BTCUSD,83387.93000
2025-03-17,18:20:01.000,BTCUSD,83387.93000
2025-03-17,18:20:01.000,BTCUSD,83390.18000
2025-03-17,18:20:01.000,BTCUSD,83390.18000
2025-03-17,18:20:01.000,BTCUSD,83393.59000
2025-03-17,18:20:01.000,BTCUSD,83393.59000
2025-03-17,18:20:01.000,BTCUSD,83393.43000
2025-03-17,18:20:01.000,BTCUSD,83393.43000
2025-03-17,18:20:02.000,BTCUSD,83387.81000
2025-03-17,18:20:02.000,BTCUSD,83387.81000
2025-03-17,18:20:02.000,BTCUSD,83389.39000
2025-03-17,18:20:02.000,BTCUSD,83389.39000
2025-03-17,18:20:02.000,BTCUSD,83393.97000
2025-03-17,18:20:02.000,BTCUSD,83393.97000
2025-03-17,18:20:02.000,BTCUSD,83393.22000
2025-03-17,18:20:02.000,BTCUSD,83393.22000
2025-03-17,18:20:02.000,BTCUSD,83388.68000
2025-03-17,18:20:02.000,BTCUSD,83388.68000
2025-03-17,18:20:03.000,BTCUSD,83388.39000
2025-03-17,18:20:03.000,BTCUSD,83388.39000
2025-03-17,18:20:03.000,BTCUSD,83393.68000
2025-03-17,18:20:03.000,BTCUSD,83393.68000
2025-03-17,18:20:03.000,BTCUSD,83395.10000
2025-03-17,18:20:03.000,BTCUSD,83395.10000
2025-03-17,18:20:03.000,BTCUSD,83396.10000
2025-03-17,18:20:03.000,BTCUSD,83396.10000
2025-03-17,18:20:04.000,BTCUSD,83399.01000
2025-03-17,18:20:04.000,BTCUSD,83399.01000
2025-03-17,18:20:04.000,BTCUSD,83389.11000
2025-03-17,18:20:04.000,BTCUSD,83389.11000
2025-03-17,18:20:04.000,BTCUSD,83391.36000
2025-03-17,18:20:04.000,BTCUSD,83391.36000
2025-03-17,18:20:04.000,BTCUSD,83393.97000
2025-03-17,18:20:04.000,BTCUSD,83393.97000
2025-03-17,18:20:04.000,BTCUSD,83393.93000
2025-03-17,18:20:04.000,BTCUSD,83393.93000
2025-03-17,18:20:04.000,BTCUSD,83388.10000
2025-03-17,18:20:04.000,BTCUSD,83388.10000
2025-03-17,18:20:04.000,BTCUSD,83391.62000
2025-03-17,18:20:04.000,BTCUSD,83391.62000
2025-03-17,18:20:05.000,BTCUSD,83387.18000
2025-03-17,18:20:05.000,BTCUSD,83387.18000
2025-03-17,18:20:05.000,BTCUSD,83391.59000
2025-03-17,18:20:05.000,BTCUSD,83391.59000
2025-03-17,18:20:05.000,BTCUSD,83391.47000
2025-03-17,18:20:05.000,BTCUSD,83391.47000
2025-03-17,18:20:05.000,BTCUSD,83391.10000
2025-03-17,18:20:05.000,BTCUSD,83391.10000
2025-03-17,18:20:05.000,BTCUSD,83387.70000
2025-03-17,18:20:05.000,BTCUSD,83387.70000
2025-03-17,18:20:05.000,BTCUSD,83389.20000
2025-03-17,18:20:05.000,BTCUSD,83389.20000
2025-03-17,18:20:05.000,BTCUSD,83389.10000
2025-03-17,18:20:05.000,BTCUSD,83389.10000
2025-03-17,18:20:06.000,BTCUSD,83388.10000
2025-03-17,18:20:06.000,BTCUSD,83388.10000
2025-03-17,18:20:06.000,BTCUSD,83388.60000
2025-03-17,18:20:06.000,BTCUSD,83388.60000
2025-03-17,18:20:06.000,BTCUSD,83393.60000
2025-03-17,18:20:06.000,BTCUSD,83393.60000
2025-03-17,18:20:06.000,BTCUSD,83393.48000
2025-03-17,18:20:06.000,BTCUSD,83393.48000
2025-03-17,18:20:06.000,BTCUSD,83389.06000
2025-03-17,18:20:06.000,BTCUSD,83389.06000
2025-03-17,18:20:06.000,BTCUSD,83393.23000
2025-03-17,18:20:06.000,BTCUSD,83393.23000
2025-03-17,18:20:06.000,BTCUSD,83395.43000
2025-03-17,18:20:06.000,BTCUSD,83395.43000
2025-03-17,18:20:06.000,BTCUSD,83392.10000
2025-03-17,18:20:06.000,BTCUSD,83392.10000
2025-03-17,18:20:07.000,BTCUSD,83393.55000
2025-03-17,18:20:07.000,BTCUSD,83393.55000
2025-03-17,18:20:07.000,BTCUSD,83388.35000
2025-03-17,18:20:07.000,BTCUSD,83388.35000
2025-03-17,18:20:07.000,BTCUSD,83393.68000
2025-03-17,18:20:07.000,BTCUSD,83393.68000
2025-03-17,18:20:07.000,BTCUSD,83388.36000
2025-03-17,18:20:07.000,BTCUSD,83388.36000
2025-03-17,18:20:07.000,BTCUSD,83390.82000
2025-03-17,18:20:07.000,BTCUSD,83390.82000
2025-03-17,18:20:08.000,BTCUSD,83390.37000
2025-03-17,18:20:08.000,BTCUSD,83390.37000
2025-03-17,18:20:08.000,BTCUSD,83390.82000
2025-03-17,18:20:08.000,BTCUSD,83390.82000
2025-03-17,18:20:08.000,BTCUSD,83389.70000
2025-03-17,18:20:08.000,BTCUSD,83389.70000
2025-03-17,18:20:08.000,BTCUSD,83389.24000
2025-03-17,18:20:08.000,BTCUSD,83389.24000
2025-03-17,18:20:08.000,BTCUSD,83395.70000
2025-03-17,18:20:08.000,BTCUSD,83395.70000
2025-03-17,18:20:08.000,BTCUSD,83397.70000
2025-03-17,18:20:08.000,BTCUSD,83397.70000
2025-03-17,18:20:08.000,BTCUSD,83396.65000
2025-03-17,18:20:08.000,BTCUSD,83396.65000
2025-03-17,18:20:08.000,BTCUSD,83395.15000
2025-03-17,18:20:08.000,BTCUSD,83395.15000
2025-03-17,18:20:09.000,BTCUSD,83395.53000
2025-03-17,18:20:09.000,BTCUSD,83395.53000
2025-03-17,18:20:09.000,BTCUSD,83395.65000
2025-03-17,18:20:09.000,BTCUSD,83395.65000
2025-03-17,18:20:09.000,BTCUSD,83394.95000
